Month,Campaign,Channel,Spend,Impressions,Clicks,Conversions,Revenue
2024-08,Webinar Series,Events,9318,801348,10088,257,277861
2024-09,LinkedIn Ads,Paid Social,10675,1078175,23112,1405,693526
2024-09,Google Search,Paid Search,10930,1716010,25557,527,537678
2024-09,Email Nurture,Email,14616,2616264,32089,1634,977001
2024-09,Content / SEO,Organic,10226,1513448,40315,2095,1168909
2024-09,Webinar Series,Events,15991,2606533,28358,1324,807960
2024-10,LinkedIn Ads,Paid Social,6218,715070,6144,479,308543
2024-10,Google Search,Paid Search,2139,111228,3624,261,273061
2024-10,Email Nurture,Email,14824,1452752,35433,1582,1369519
2024-10,Content / SEO,Organic,10826,811950,20268,1687,1475506
2024-10,Webinar Series,Events,6404,973408,8664,394,157954
2024-11,LinkedIn Ads,Paid Social,15103,1857669,52352,1690,678682
2024-11,Google Search,Paid Search,9790,1302070,29079,2441,2548488
2024-11,Email Nurture,Email,5737,935131,31906,1297,1401752
2024-11,Content / SEO,Organic,13590,2160810,73463,2193,2564012
2024-11,Webinar Series,Events,14393,2029413,69236,5284,3257654
2024-12,LinkedIn Ads,Paid Social,13559,583037,8827,252,156012
2024-12,Google Search,Paid Search,12954,1386078,32965,2557,2927940
2024-12,Email Nurture,Email,3648,361152,7486,474,544017
2024-12,Content / SEO,Organic,6839,656544,16733,1078,762281
2024-12,Webinar Series,Events,12258,1765152,19681,456,143291
